species_name	proteomes	lifestyle	genomes	accession	alternative_name
Aspergillus_niger	7.0	S	1	GCA_000002855.2,GCA_000230395.2,GCA_001515345.1,GCA_002211485.2,GCA_003184595.1,GCA_003344705.1,GCA_900248155.1
Oidium_neolycopersici	1.0	B	1	GCA_003610855.1
Hyaloperonospora_arabidopsidis	1.0	B	1
Albugo_laibachii	1.0	B	1
Colletotrichum_trifolii	1.0	H	1	GCA_004367215.1
Phytophthora_ramorum	1.0	H	1
Phytophthora_sojae	1.0	H	1	GCA_000149755.2
Phytophthora_rubi	3.0	H	1	GCA_009733145.1,GCA_009732945.1,GCA_009732905.1
Albugo_candida	1.0	B	1	GCA_001078535.1
Bremia_lactucae	1.0	B	1	GCA_004359215.1
Peronospora_effusa	2.0	B	1	GCA_003704535.1,GCA_003843895.1
Plasmopara_halstedii	1.0	B	1	GCA_900000015.1
Phytophthora_cactorum	2.0	H	1	GCA_003287315.1,GCA_010194725.1
Phytophthora_fragariae	10.0	H	1	GCA_009729455.1,GCA_009732925.1,GCA_009732985.1,GCA_009733005.1,GCA_009733025.1,GCA_009733045.1,GCA_009733065.1,GCA_009733085.1,GCA_009733105.1,GCA_009733125.1
Phytophthora_infestans	3.0	H	1	GCA_012295175.1,GCA_012552325.1,GCA_000142945.1
Phytophthora_kernoviae	5.0	H	1	GCA_000333075.3,GCA_001707905.2,GCA_001712645.2,GCA_001712705.2,GCA_001712715.2
Phytophthora_megakarya	1.0	H	1	GCA_002215365.1
Phytophthora_nicotianae	2.0	H	1	GCA_001482985.1,GCA_001483015.1
Phytophthora_palmivora	1.0	H	1	GCA_002911725.1
Phytophthora_parasitica	9.0	H	1	GCA_000509465.1,GCA_000509485.1,GCA_000509505.1,GCA_000509525.1,GCA_000247585.2,GCA_000365505.1,GCA_000365525.1,GCA_000367145.1,GCA_000365545.1
Monilinia_laxa	1.0	N	1	GCA_009299455.1
Thraustotheca_clavata	1.0	S	1	GCA_002081575.1
